,team,player (nunique),fpts (mean),g (mean),kp (mean),at (mean),sot (mean),tkw (mean),yc (mean),rc (mean),acnc (mean),int (mean),clr (mean),bs (mean),pkm (mean),pkd (mean),og (mean),gao (mean),cs (mean),pts (mean),dpt (mean),off (mean),pkg (mean),ghost points (mean),negative fpts (mean),home (mean),gp (max),rollingsum_fpts (mean),default fpts (sum),default ghosts (sum),default negative fpts (sum),delta (sum),delta ghosts (sum),delta negative fpts (sum)
1,AVL,11,89.34,2.18,9.18,2.91,4.27,6.82,1.64,0.0,2.55,3.0,9.91,3.0,0.0,0.55,0.0,6.09,2.0,3.91,13.0,0.73,0.55,53.66,-9.86,8.09,9.0,23.07,967.5,611.0,-120.5,15.25,-20.75,12.0
14,NEW,16,66.5,1.38,6.0,1.0,3.75,5.88,1.38,0.0,2.12,3.38,7.38,2.38,0.0,0.25,0.0,2.75,4.12,2.12,9.88,0.38,0.25,44.78,-8.03,6.25,10.0,18.33,1113.5,770.5,-135.0,-49.5,-54.0,6.5
10,LIV,16,62.25,1.31,8.56,1.19,3.38,4.5,0.25,0.12,0.81,4.25,6.62,0.69,0.12,0.25,0.0,2.5,3.0,1.94,6.38,1.12,0.25,41.62,-7.88,5.62,9.0,11.11,1125.75,784.25,-99.5,-129.75,-118.25,-26.5
17,TOT,12,61.25,0.83,10.67,0.67,4.67,6.83,1.67,0.0,1.33,4.5,7.67,1.67,0.0,0.0,0.0,3.33,3.17,1.33,11.0,1.33,0.0,49.62,-8.88,6.67,8.0,27.02,821.5,685.5,-104.0,-86.5,-90.0,-2.5
18,WHU,13,53.94,1.08,5.38,1.08,2.85,4.85,1.46,0.15,1.69,6.77,11.92,3.77,0.0,0.08,0.0,8.92,1.46,2.08,10.62,1.31,0.15,45.73,-9.79,6.62,9.0,14.67,677.0,592.0,-187.0,24.25,2.5,59.75
0,ARS,16,52.56,0.94,6.5,0.94,3.38,6.62,0.88,0.0,1.06,4.94,4.88,1.94,0.0,0.0,0.0,6.12,1.88,1.56,7.62,1.31,0.25,41.56,-7.38,6.38,11.0,15.95,863.25,707.75,-155.5,-22.25,-42.75,37.5
12,MCI,14,52.5,1.43,3.71,1.0,2.71,3.43,0.57,0.14,0.29,3.57,6.29,0.86,0.0,0.14,0.0,2.86,2.29,2.14,7.57,0.57,0.14,30.75,-5.68,5.43,8.0,22.95,713.0,420.0,-81.0,22.0,10.5,1.5
6,CHE,16,51.78,0.75,6.88,0.75,2.75,5.56,1.44,0.12,1.56,4.94,9.31,2.44,0.0,0.0,0.0,6.25,1.75,1.25,10.81,1.88,0.12,45.73,-9.2,6.88,11.0,17.7,848.5,798.5,-210.0,-20.0,-66.75,62.75
2,BHA,18,49.67,0.94,8.11,1.06,3.28,4.67,0.78,0.0,2.06,4.67,6.61,1.72,0.0,0.11,0.0,7.94,1.0,1.78,8.06,1.11,0.11,42.31,-7.19,5.89,11.0,17.81,944.0,836.0,-177.0,-50.0,-74.5,47.5
4,BRF,16,49.44,1.0,5.75,0.88,3.12,6.25,0.88,0.0,1.88,4.25,10.38,1.62,0.0,0.12,0.0,9.12,1.5,1.62,8.38,1.12,0.12,43.62,-8.44,6.38,10.0,12.98,802.5,720.5,-194.0,-11.5,-22.5,59.0
8,EVE,17,45.71,0.47,6.24,0.24,3.18,6.59,0.47,0.0,1.65,4.59,7.76,2.24,0.0,0.0,0.0,5.41,1.41,0.59,7.41,0.94,0.0,44.15,-6.79,5.76,10.0,8.54,806.0,783.0,-131.0,-29.0,-32.5,15.5
7,CRY,15,41.75,0.47,4.27,0.2,2.47,6.13,0.93,0.0,1.47,3.93,11.2,1.93,0.0,0.0,0.07,5.0,2.67,0.67,9.33,0.47,0.0,39.2,-8.78,6.0,9.0,16.43,624.25,580.25,-150.0,2.0,7.75,18.25
19,WOL,14,35.38,0.57,3.86,0.86,1.71,7.0,1.21,0.29,0.93,5.21,11.71,3.36,0.0,0.0,0.0,12.71,0.14,1.29,13.29,1.0,0.0,39.75,-9.8,6.43,9.0,8.27,480.25,594.75,-261.5,15.0,-38.25,124.25
13,MUN,21,32.63,0.38,5.95,0.57,2.24,4.29,0.81,0.0,1.1,3.19,6.43,1.33,0.0,0.1,0.0,7.38,0.86,0.86,7.48,1.14,0.1,32.64,-6.77,4.9,11.0,9.88,725.0,744.5,-215.5,-39.75,-59.0,73.25
15,NOT,20,31.7,0.5,3.8,0.5,1.6,3.7,0.8,0.1,1.4,3.3,8.3,1.4,0.0,0.0,0.0,4.1,0.3,1.0,6.5,0.9,0.0,28.8,-5.7,4.0,8.0,15.29,675.5,622.5,-117.0,-41.5,-46.5,3.0
9,FUL,14,30.21,0.29,4.29,0.29,1.43,5.14,0.71,0.14,1.57,4.57,6.29,0.57,0.0,0.0,0.14,7.43,1.43,0.43,8.43,0.71,0.0,33.11,-8.89,5.57,8.0,10.61,412.5,469.5,-173.0,10.5,-6.0,48.5
3,BOU,18,28.92,0.33,3.89,0.11,2.0,5.06,0.5,0.11,1.28,4.89,7.72,1.83,0.0,0.0,0.0,8.89,1.11,0.44,9.33,0.83,0.0,35.38,-9.35,6.0,11.0,10.4,546.0,646.0,-222.0,-25.5,-9.25,53.75
5,BUR,16,24.72,0.38,4.62,0.38,1.38,6.75,0.75,0.0,1.0,5.75,10.12,3.88,0.0,0.0,0.0,23.25,0.0,0.75,9.38,1.12,0.0,41.91,-8.69,8.25,14.0,5.11,338.5,662.5,-414.0,57.0,8.0,275.0
11,LUT,16,22.91,0.25,4.25,0.25,0.75,4.12,0.38,0.0,1.25,2.88,6.25,0.5,0.0,0.0,0.0,4.38,0.0,0.38,5.12,0.62,0.12,24.84,-5.19,3.75,6.0,15.5,405.0,429.0,-88.0,-38.5,-31.5,5.0
16,SHU,19,18.16,0.21,2.63,0.32,1.58,3.79,1.37,0.0,0.53,4.74,14.21,2.74,0.0,0.0,0.0,13.79,0.0,0.32,10.11,0.84,0.11,31.0,-8.32,5.16,10.0,6.5,305.5,586.5,-353.0,39.5,2.5,195.0
